Kurita,,,,,,,,,
Dates,3025-01-01T00:00:00Z,,3039-01-01T00:00:00Z,,3050-01-01T00:00:00Z,,3057-01-01T00:00:00Z,,3061-01-01T00:00:00Z
Collection:KuritaA,0,,0,,0,,350,,450
Collection:KuritaC,0,,0,,0,,650,,550
Salvage:Davion,25,,30,,30,,30,,30
Salvage:Steiner,25,,30,,30,,30,,30
,,,,,,,,,
Lights,,,,,,,,,
mechdef_stinger_STG-3R,43,,41,,40,,40,,40
mechdef_wasp_WSP-1W,0,Jump:3028-05-25T00:00:00Z,3,,3,,3,,3
mechdef_wasp_WSP-1K,43,,41,,40,,40,,40
mechdef_wasp_WSP-1A,141,,135,,131,,131,,131
mechdef_locust_LCT-1V,141,,135,,131,,131,,131
mechdef_mercury_MCY-97,0,,0,3049-01-01T00:00:00Z,4,,4,,4
mechdef_locust_LCT-3V,8,,7,,7,,7,,7
mechdef_stinger_STG-3G,12,,11,,11,,11,,11
mechdef_thorn_THE-T,0,3038-01-01T00:00:00Z,7,,7,,7,,7
mechdef_spider_SDR-5K,4,,4,,4,,4,,4
mechdef_thorn_THE-S,0,,0,3039-01-01T00:00:00Z,11,,11,,11
mechdef_hussar_HSR-300-D,0,Jump:3035-01-01T00:00:00Z,11,,20,,20,,20
mechdef_mercury_MCY-98,1,,1,,0,,0,,0
mechdef_javelin_JVN-10N,21,,20,,20,,20,,20
mechdef_ostscout_OTT-7J,21,,20,,20,,20,,20
mechdef_hermes_HER-1A,8,,7,,7,,7,,7
mechdef_falcon_FLC-4N,4,,7,,7,,7,,7
mechdef_spider_SDR-5V,43,,41,,40,,40,,40
mechdef_hussar_HSR-200-D,0,,0,3039-01-01T00:00:00Z,7,,7,,7
mechdef_hermes_HER-1B,4,,4,,4,,4,,4
mechdef_firestarter_FS9-H,68,,66,,64,,64,,64
mechdef_hermes_HER-1S,0,,0,3039-01-01T00:00:00Z,4,,4,,4
mechdef_hussar_HSR-350-D,0,3038-01-01T00:00:00Z,4,,4,,4,,4
mechdef_mongoose_MON-68,0,3039-01-01T00:00:00Z,4,,4,,4,,4
mechdef_jenner_JR7-A,4,,4,,4,,4,,4
mechdef_mongoose_MON-67,8,,11,,20,,20,,20
mechdef_mongoose_MON-66,0,,0,3039-01-01T00:00:00Z,4,,4,,4
mechdef_firestarter_FS9-K,4,,4,,4,,4,,4
mechdef_panther_PNT-9R,210,,200,,194,,194,,194
mechdef_panther_PNT-9ALAG,4,,4,,4,,4,,4
mechdef_javelin_JVN-10F,4,,4,,4,,4,,4
mechdef_jenner_JR7-D,82,,78,,60,,60,,60
mechdef_stinger_STG-A10,6,,6,,4,,0,,0
mechdef_jenner_JR7-K,0,,0,3047-01-01T00:00:00Z,11,,11,,11
mechdef_jenner_JR7-F,5,,4,,4,,4,,4
mechdef_stinger_STG-A5,6,,6,,4,,0,,0
Mediums,,,,,,,,,
mechdef_vulcan_VL-2T,42,,38,,36,,36,,36
mechdef_cicada_CDA-2A,30,,27,,26,,26,,26
mechdef_assassin_ASN-21,30,,27,,26,,26,,26
mechdef_sentinel_STN-3M,0,,0,3039-01-01T00:00:00Z,5,,5,,5
mechdef_clint_CLNT-2-3T,6,,7,,5,,5,,5
mechdef_whitworth_WTH-1S,6,,5,,5,,5,,5
mechdef_hatchetman_HCT-3K,0,3033-03-30T00:00:00Z,3,,3,,3,,3
mechdef_vulcan_VL-5T,6,,5,,5,,5,,5
mechdef_centurion_CN9-A,11,,10,,9,,9,,9
mechdef_hermesII_HER-4K,11,,10,,9,,9,,9
mechdef_whitworth_WTH-1,59,,55,,52,,52,,52
mechdef_trebuchet_TBT-5S,6,,5,,5,,5,,5
mechdef_trebuchet_TBT-7K,6,,5,,5,,5,,5
mechdef_wyvern_WVE-6N,11,,38,,36,,36,,36
mechdef_phoenixhawk_PXH-1,119,,110,,103,,103,,103
mechdef_hunchback_HBK-4G,59,,55,,36,,36,,36
mechdef_hunchback_HBK-4SP,0,3025-09-01T00:00:00Z,5,,9,,9,,9
mechdef_shadowhawk_SHD-2H,42,,38,,36,,36,,36
mechdef_hunchback_HBK-4H,6,,5,,5,,5,,5
mechdef_phoenixhawk_PXH-1K,60,,55,,52,,52,,52
mechdef_hunchback_HBK-4N,6,,5,,5,,5,,5
mechdef_wyvern_WVE-5N,0,,0,3043-01-01T00:00:00Z,36,,36,,36
mechdef_wolverine_WVR-6R,59,,55,,52,,52,,52
mechdef_hunchback_HBK-4P,6,,5,,5,,5,,5
mechdef_crab_CRB-20,11,,10,,0,,0,,0
mechdef_hunchback_HBK-4J,6,,5,,5,,5,,5
mechdef_dervish_DV-6M,30,,27,,26,,26,,26
mechdef_shadowhawk_SHD-2K,59,,55,,52,,52,,52
mechdef_kintaro_KTO-18,0,,0,,9,,9,,9
mechdef_trebuchet_TBT-5N,42,,38,,36,,36,,36
mechdef_crab_CRB-27_actual,0,,0,,14,,14,,14
mechdef_wolverine_WVR-6K,30,,27,,26,,26,,26
mechdef_griffin_GRF-1N,119,,110,,103,,103,,103
mechdef_griffin_GRF-1DS,0,,0,3049-01-01T00:00:00Z,9,,9,,9
mechdef_kintaro_KTO-20,0,,0,3039-01-01T00:00:00Z,9,,9,,9
Heavies,,,,,,,,,
mechdef_jagermech_JM6-DD,0,,0,3043-01-01T00:00:00Z,5,,5,,5
mechdef_champion_CHP-2N,5,,4,,5,,5,,5
mechdef_dragon_DRG-1N,230,,224,,84,,84,,84
mechdef_quickdraw_QKD-4G,42,,40,,40,,40,,40
mechdef_quickdraw_QKD-5A,18,,17,,18,,18,,18
mechdef_dragon_DRG-1C,7,,7,,5,,5,,5
mechdef_dragon_DRG-5N,0,,0,3043-01-01T00:00:00Z,25,,25,,25
mechdef_ostroc_OSR-2C,26,,25,,26,,26,,26
mechdef_ostroc_OSR-2L,3,,2,,0,,0,,0
mechdef_champion_CHP-1N,0,,0,3043-01-01T00:00:00Z,13,,13,,13
mechdef_lancelot_LNC25-02,86,,82,,84,,84,,84
mechdef_quickdraw_QKD-4H,7,,7,,7,,7,,7
mechdef_quickdraw_QKD-5K,0,,0,3049-01-01T00:00:00Z,5,,5,,5
mechdef_ostsol_OTL-4D,42,,40,,40,,40,,40
mechdef_ostroc_OSR-3C,3,,2,,3,,3,,3
mechdef_crusader_CRD-3K,18,,17,,18,,18,,18
mechdef_orion_ON1-V,3,,2,,3,,3,,3
mechdef_warhammer_WHM-6R,39,,37,,37,,37,,37
mechdef_warhammer_WHM-6R-DC,3,,3,,3,,3,,3
mechdef_granddragon_DRG-1G,5,,25,,51,,51,,51
mechdef_warhammer_WHM-6K,13,,12,,13,,13,,13
mechdef_crusader_CRD-3R,52,,49,,51,,51,,51
mechdef_catapult_CPLT-K2,7,,25,,25,,25,,25
mechdef_orion_ON1-VA,3,,2,,0,,0,,0
mechdef_thunderbolt_TDR-5S,49,,46,,48,,48,,48
mechdef_archer_ARC-2W,0,Jump:3028-05-25T00:00:00Z,3,,3,,3,,3
mechdef_archer_ARC-2K,86,,82,,84,,84,,84
mechdef_marauder_MAD-3R,18,,17,,18,,18,,18
mechdef_guillotine_GLT-4P,3,,2,,3,,3,,3
mechdef_catapult_CPLT-C1,5,,4,,5,,5,,5
mechdef_guillotine_GLT-4L,13,,17,,25,,25,,25
mechdef_thunderbolt_TDR-5SE,3,,3,,3,,3,,3
mechdef_guillotine_GLT-3N,0,,0,3043-01-01T00:00:00Z,5,,5,,5
mechdef_lancelot_LNC25-01,0,,0,3043-01-01T00:00:00Z,13,,13,,13
mechdef_grasshopper_GHR-5H,18,,17,,5,,5,,5
mechdef_orion_ON1-K,18,,17,,18,,18,,18
mechdef_catapult_CPLT-K3,0,,0,3039-01-01T00:00:00Z,13,,13,,13
mechdef_blackknight_BL-7-KNT,3,,2,,0,,0,,0
mechdef_stalker_STK-4P,5,,4,,5,,5,,5
mechdef_archer_ARC-2R,52,,46,,48,,48,,48
mechdef_flashman_FLS-7K,0,,0,,5,,5,,5
mechdef_grasshopper_GHR-5N,0,,0,3040-01-01T00:00:00Z,5,,5,,5
mechdef_blackknight_BL-6-KNT,0,,0,3039-01-01T00:00:00Z,5,,5,,5
mechdef_marauder_MAD-5D,0,,0,3047-01-01T00:00:00Z,5,,5,,5
Assaults,,,,,,,,,
mechdef_daboku_DCMS-MX90-D,0,3038-01-01T00:00:00Z,49,,0,,0,,0
mechdef_cyclops_CP-10-Z,64,,48,,41,,41,,41
mechdef_longbow_LGB-0W,64,,48,,41,,41,,41
mechdef_victor_VTR-9B,64,,48,,41,,41,,41
mechdef_charger_CGR-1A9,0,3034-01-01T00:00:00Z,12,,29,,29,,29
mechdef_annihilator_ANH-1A,0,Jump:3028-05-25T00:00:00Z,3,,3,,3,,3
mechdef_goliath_GOL-1H,9,,7,,6,,6,,6
mechdef_mauler_MAL-1R,0,,0,3048-01-01T00:00:00Z,10,,10,,10
mechdef_awesome_AWS-8R,9,,7,,6,,6,,6
mechdef_striker_STC-2C,16,,12,,29,,29,,29
mechdef_thug_THG-10E,0,3038-01-01T00:00:00Z,34,,29,,29,,29
mechdef_awesome_AWS-8V,9,,7,,6,,6,,6
mechdef_battlemaster_BLR-1G,46,,34,,29,,29,,29
mechdef_hatamotochi_HTM-26T,0,3038-12-19T00:00:00Z,7,,10,,10,,10
mechdef_cyclops_CP-11-A,0,,0,3045-01-01T00:00:00Z,6,,6,,6
mechdef_cyclops_CP-11-C,0,,0,3049-12-01T00:00:00Z,6,,6,,6
mechdef_stalker_STK-4N,9,,7,,6,,6,,6
mechdef_stalker_STK-3F,92,,68,,58,,58,,58
