LiaoA,,,,,,,,,
,,,,,,,,,
Dates,3025-01-01T00:00:00Z,,3039-01-01T00:00:00Z,,3050-01-01T00:00:00Z,,3057-01-01T00:00:00Z,,3061-01-01T00:00:00Z
Lights,,,,,,,,,
mechdef_wasp_WSP-1L,45,,51,,50,,79,,70
mechdef_stinger_STG-3R,157,,150,,90,,63,,32
mechdef_wasp_WSP-1A,157,,150,,149,,76,,27
mechdef_wasp_WSP-3M,0,,0,,0,3051-01-01T00:00:00Z,40,,44
mechdef_locust_LCT-1V,95,,91,,72,,40,,20
mechdef_stinger_STG-5M,0,,0,,0,3050-01-01T00:00:00Z,40,,44
mechdef_locust_LCT-1L,0,,0,,0,,40,,44
mechdef_ostscout_OTT-7K,0,,0,,0,3050-01-01T00:00:00Z,28,,32
mechdef_locust_LCT-3V,9,,8,,8,,7,,0
mechdef_stinger_STG-3G,48,,45,,45,,40,,32
mechdef_flea_FLE-17,0,,0,3049-01-01T00:00:00Z,23,,28,,27
mechdef_locust_LCT-3M,0,,0,,0,3050-01-01T00:00:00Z,40,,44
mechdef_locust_LCT-1E,77,,73,,45,,40,,32
mechdef_javelin_JVN-10N,24,,23,,23,,11,,0
mechdef_ostscout_OTT-7J,24,,23,,23,,28,,27
mechdef_hermes_HER-1A,9,,8,,8,,0,,0
mechdef_falcon_FLC-4N,5,,5,,5,,0,,0
mechdef_spider_SDR-5V,33,,32,,32,,28,,22
mechdef_raven_RVN-1X,13,,33,,72,,0,,0
mechdef_raven_RVN-3M,0,,0,,0,3053-01-01T00:00:00Z,63,,92
mechdef_tarantula_ZPH-1,0,,0,,0,3054-01-01T00:00:00Z,18,,7
mechdef_hermes_HER-1B,10,,5,,5,,0,,0
mechdef_raven_RVN-3X,0,3029-10-01T00:00:00Z,6,,23,,20,,8
mechdef_firestarter_FS9-H,152,,146,,111,,40,,6
mechdef_raven_RVN-3L,0,,0,3048-01-01T00:00:00Z,46,,63,,64
mechdef_duangung_D9-G9,0,,0,,0,,0,3058-01-01T00:00:00Z,44
mechdef_mongoose_MON-67,18,,16,,16,,0,,0
mechdef_tarantula_ZPH-2A,0,,0,,0,,0,3060-01-01T00:00:00Z,4
mechdef_firestarter_FS9-K,10,,10,,0,,0,,0
mechdef_hammer_HMR-3M,0,,0,,0,3053-01-01T00:00:00Z,40,,55
mechdef_eagle_EGL-2M,0,,0,,0,,0,3058-01-01T00:00:00Z,27
mechdef_wasplam_WSP-105,30,,31,,28,,0,,0
mechdef_raven_RVN-4X,0,3031-01-01T00:00:00Z,16,,46,,79,,84
mechdef_firefly_FFL-4A,3,,2,,1,,0,,0
mechdef_javelin_JVN-10F,10,,10,,10,,4,,0
mechdef_jackal_JA-KL-1532,0,,0,,0,3052-01-01T00:00:00Z,63,,92
mechdef_falconhawk_FNHK-9K1A,0,,0,,0,,0,3057-01-01T00:00:00Z,22
mechdef_stingerlam_STG-A5,25,,23,,19,,0,,0
Mediums,,,,,,,,,
mechdef_vulcan_VL-2T,0,,0,,0,,4,,0
mechdef_cicada_CDA-2A,5,,12,,0,,21,,0
mechdef_clint_CLNT-1-2R,5,,4,,3,,0,,0
mechdef_clint_CLNT-2-3T,8,,8,,8,,0,,0
mechdef_vulcan_VL-5M,0,,0,,0,3050-01-01T00:00:00Z,30,,34
mechdef_cicada_CDA-3M,0,,0,,0,3050-01-01T00:00:00Z,30,,34
mechdef_hermesII_HER-5S,0,,0,,0,3050-01-01T00:00:00Z,30,,34
mechdef_vulcan_VL-5T,5,,4,,5,,4,,0
mechdef_centurion_CN9-A,8,,4,,5,,4,,0
mechdef_vindicator_VND-1AA,8,,8,,8,,8,,0
mechdef_snake_SNK-1V,0,,0,,0,3053-01-01T00:00:00Z,43,,52
mechdef_whitworth_WTH-1,13,,13,,13,,0,,0
mechdef_trebuchet_TBT-5S,5,,4,,5,,4,,0
mechdef_hoplite_HOP-4C,3,,2,,1,,0,,0
mechdef_wyvern_WVE-6N,8,,8,,8,,12,,4
mechdef_vindicator_VND-1X,5,,4,,0,,0,,0
mechdef_vindicator_VND-1R,226,,230,,230,,140,,121
mechdef_phoenixhawk_PXH-1,149,,148,,152,,140,,78
mechdef_hunchback_HBK-4G,45,,45,,32,,30,,17
